year,Base case cost,Modeled biomass for heat (pellet)
2017,19106.0447759,22104.2897597
2018,20924.0847759,23401.1700624
2019,23456.3547759,25207.5390555
2020,24625.0947759,26041.2478216
2021,25469.1847759,26643.3708193
2022,26118.4847759,27106.542356
2023,26572.9947759,27430.7624317
2024,26962.5747759,27708.6653537
2025,27417.0847759,28032.8854294
2026,27936.5247759,28403.4226587
2027,28391.0347759,28727.6427344
2028,28780.6147759,29005.5456564
2029,29235.1247759,29329.7657321
2030,29559.7747759,29561.3515005
2031,30144.1447759,29978.2058835
2032,,
2033,,
2034,,
2035,,
2036,,
