year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,256864.390176,190079.64873
2018,256864.390176,190079.64873
2019,256864.390176,190079.64873
2020,256864.390176,190079.64873
2021,256864.390176,190079.64873
2022,256864.390176,190079.64873
2023,256864.390176,190079.64873
2024,256864.390176,190079.64873
2025,256864.390176,190079.64873
2026,256864.390176,190079.64873
2027,256864.390176,190079.64873
2028,256864.390176,190079.64873
2029,256864.390176,190079.64873
2030,256864.390176,190079.64873
2031,256864.390176,190079.64873
