year,Base case cost,Modeled biomass for heat (pellet)
2017,311872.49881,371556.691933
2018,348337.48881,397569.255665
2019,398917.95881,433651.198906
2020,423620.04881,451272.613047
2021,440088.10881,463020.222474
2022,453027.29881,472250.487024
2023,462437.61881,478963.406697
2024,469495.35881,483998.096451
2025,478905.67881,490711.016124
2026,489492.28881,498263.050756
2027,498902.60881,504975.970429
2028,505960.34881,510010.660183
2029,516546.95881,517562.694815
2030,522428.40881,521758.26961
2031,534191.30881,530149.419201
2032,,
2033,,
2034,,
2035,,
2036,,
