year,Base case cost,Modeled biomass for heat (cordwood)
2017,311872.49881,390474.573821
2018,348337.48881,417437.358123
2019,398917.95881,454837.349251
2020,423620.04881,473102.461197
2021,440088.10881,485279.202495
2022,453027.29881,494846.642085
2023,462437.61881,501804.77997
2024,469495.35881,507023.383383
2025,478905.67881,513981.521267
2026,489492.28881,521809.426387
2027,498902.60881,528767.564271
2028,505960.34881,533986.167685
2029,516546.95881,541814.072804
2030,522428.40881,546162.908982
2031,534191.30881,554860.581338
2032,,
2033,,
2034,,
2035,,
2036,,
