year,Base case cost,Modeled solar power (pv)
2016,289910.346172,313933.561465
2017,340492.436752,363722.526781
2018,379907.944894,402544.330727
2019,446342.730914,468163.94246
2020,478959.618774,500414.892223
2021,499784.191145,520993.542353
2022,521110.43953,542168.502312
2023,541812.909334,562767.308048
2024,566125.441055,587022.689443
2025,594057.63952,614855.008488
2026,622427.871501,643127.394181
2027,644580.783408,665184.466794
2028,662686.917609,683218.255621
2029,760945.977095,781385.240438
2030,854952.97708,875344.43732
2031,943898.792063,964180.676663
2032,950891.002128,971065.531732
2033,935957.648383,956006.349195
2034,924395.077847,944340.945037
2035,934890.742334,954776.583786
