year,Base case diesel consumed,Modeled solar power (pv)
2016,187038.933014,184669.980615
2017,179206.545659,176856.544879
2018,175072.785666,172741.584892
2019,175725.484612,173412.933445
2020,176088.095138,173794.04438
2021,175362.874086,173087.175734
2022,177248.44882,174990.956055
2023,180004.288815,177764.855992
2024,185008.31407,182786.79671
2025,189794.77301,187591.027788
2026,194508.709844,192322.594584
2027,197119.505629,194950.879292
2028,199005.080363,196853.803036
2029,223807.640322,221673.573214
2030,247812.457125,245695.462553
2031,267393.425514,265293.366899
2032,263404.709731,261321.451585
2033,252961.52659,250894.934509
2034,244548.962393,242498.903049
2035,243461.130816,241427.471947
