year,Base case cost,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,478959.618774,,573224.142237,,,,,,,,
2021,499784.191145,1258739.71044,581883.134289,1345546.34828,872918.786991,1316227.98051,1188909.98844,1342038.81663,1199833.98214,1268831.80426,19116020.2397
2022,521110.43953,1263422.59485,594787.057838,1365407.40787,889333.767206,1329525.79715,1205218.46698,1349315.30946,1214135.35274,1286143.83677,19112945.3076
2023,541812.909334,1271180.22601,608938.830546,1384970.28639,906216.361766,1343983.93115,1222018.2269,1359090.1916,1229374.02872,1303724.13867,19114669.0814
2024,566125.441055,1286246.44441,628572.292914,1408468.82433,927800.41117,1363836.22301,1243543.10871,1375597.30356,1249783.85056,1325806.55046,19125425.4018
2025,594057.63952,1301233.80423,649953.794284,1435261.43151,951912.734392,1385524.08567,1267572.5973,1392601.91437,1272252.25519,1350616.58103,19134378.9043
2026,622427.871501,1316659.19757,671773.32917,1462492.07221,976463.091129,1407649.98184,1292040.1194,1410044.55869,1295158.69334,1375864.6451,19143770.4403
2027,644580.783408,1325867.27083,687375.543982,1483505.39283,994796.127793,1423558.55795,1310290.32143,1421269.88294,1311847.81142,1394895.38911,19146944.6562
2028,662686.917609,1332877.82905,699866.794959,1500634.7345,1009628.08321,1436312.40432,1325051.27573,1430009.51343,1325270.69377,1410325.37939,19148783.3368
2029,760945.977095,1418192.04989,791575.15735,1597754.2027,1104067.26746,1528327.128,1419407.62534,1517340.98526,1418065.95942,1505462.27097,19228063.7003
2030,854952.97708,1502952.73655,880903.087982,1690947.20891,1195345.78512,1617873.88812,1510626.97541,1603542.56548,1508170.24953,1597239.15103,19308514.4889
2031,943898.792063,1577104.45023,962362.391999,1778590.63386,1279926.0284,1699683.31933,1595112.55053,1679999.70885,1590871.72871,1682616.77412,19375770.3656
2032,950891.002128,1569302.55898,961868.091098,1784280.45388,1282552.66676,1699539.14562,1597644.52074,1674503.24731,1591619.60297,1686040.7923,19361072.6375
2033,935957.648383,1537725.84126,938512.412517,1767881.91134,1262708.04484,1676577.36012,1577693.39715,1645520.138,1569661.37144,1667093.22268,19321738.1032
2034,924395.077847,1511369.16942,919463.331015,1755016.95077,1246779.9026,1657878.40581,1561670.58675,1621468.89585,1551854.4651,1651962.46025,19288485.5944
2035,934890.742334,1510769.25792,924344.112278,1764535.82272,1254001.38831,1663021.78246,1568821.07134,1622598.05663,1557666.87773,1659781.98082,19282713.8052
2036,992428.728259,1551663.87987,973459.773367,1820608.61985,1306628.10606,1712531.33664,1621341.28742,1666086.28699,1608179.98587,1713305.75087,19315850.6106
2037,1078657.73247,1628646.57076,1055009.70822,1906023.63029,1390128.62795,1794300.10099,1704782.64172,1744509.87145,1690506.2802,1797304.63515,19388523.4035
2038,1172708.42267,1706053.89699,1140638.07359,1998609.13169,1479268.04999,1880322.35944,1793815.56207,1824510.80608,1777532.09263,1887341.10948,19458172.9131
2039,1218398.3838,1738799.01948,1179777.33762,2043159.50154,1521138.13587,1919767.98477,1835602.81333,1859273.17956,1817758.25993,1929908.9027,19484884.1783
2040,1236143.53487,1738051.54391,1188164.34999,2059276.66506,1533426.32231,1928592.65612,1847772.66457,1861407.49111,1827697.99124,1943193.81391,19475516.9066
2041,1217386.4176,1719294.42664,1169407.23271,2040519.54779,1514669.20504,1909835.53885,1829015.5473,1842650.37384,1808940.87397,1924436.69664,19456759.7893
2042,1218616.3925,1720524.40154,1170637.20762,2041749.52269,1515899.17994,1911065.51375,1830245.5222,1843880.34874,1810170.84887,1925666.67154,19457989.7642
2043,1257975.5894,1759883.59844,1209996.40452,2081108.7196,1555258.37684,1950424.71065,1869604.7191,1883239.54565,1849530.04577,1965025.86845,19497348.9611
2044,1314861.92868,1816769.93772,1266882.7438,2137995.05887,1612144.71612,2007311.04993,1926491.05838,1940125.88492,1906416.38505,2021912.20772,19554235.3004
2045,1351761.17578,1853669.18481,1303781.99089,2174894.30597,1649043.96322,2044210.29702,1963390.30548,1977025.13202,1943315.63215,2058811.45482,19591134.5475
2046,1360985.98755,1862893.99659,1313006.80267,2184119.11774,1658268.77499,2053435.1088,1972615.11725,1986249.94379,1952540.44392,2068036.26659,19600359.3593
2047,1359141.0252,1861049.03423,1311161.84031,2182274.15539,1656423.81264,2051590.14644,1970770.15489,1984404.98144,1950695.48156,2066191.30424,19598514.3969
2048,1359141.0252,1861049.03423,1311161.84031,2182274.15539,1656423.81264,2051590.14644,1970770.15489,1984404.98144,1950695.48156,2066191.30424,19598514.3969
2049,1370825.78678,1872733.79582,1322846.60189,2193958.91697,1668108.57422,2063274.90802,1982454.91648,1996089.74302,1962380.24315,2077876.06582,19610199.1585
2050,1385892.97934,1887800.98838,1337913.79446,2209026.10953,1683175.76678,2078342.10059,1997522.10904,2011156.93558,1977447.43571,2092943.25838,19625266.3511
