year,Base case diesel consumed,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,176088.095138,,87143.5043281,,,,,,,,
2021,175362.874086,0.0,86418.2832767,159889.63833,123497.05957,90578.0206629,122372.340683,26989.3805677,101176.127327,132970.447363,0.0
2022,177248.44882,1885.57473374,88303.8580104,161775.213064,125382.634304,92463.5953966,124257.915416,28874.9553015,103061.702061,134856.022097,1885.57473374
2023,180004.288815,4641.4147292,91059.6980059,164531.053059,128138.4743,95219.4353921,127013.755412,31630.7952969,105817.542056,137611.862093,4641.4147292
2024,185008.31407,9645.43998412,96063.7232608,169535.078314,133142.499554,100223.460647,132017.780667,36634.8205518,110821.567311,142615.887348,9645.43998412
2025,189794.77301,14431.8989236,100850.1822,174321.537254,137928.958494,105009.919587,136804.239606,41421.2794913,115608.026251,147402.346287,14431.8989236
2026,194508.709844,19145.835758,105564.119035,179035.474088,142642.895328,109723.856421,141518.176441,46135.2163257,120321.963085,152116.283121,19145.835758
2027,197119.505629,21756.6315431,108174.91482,181646.269873,145253.691114,112334.652206,144128.972226,48746.0121109,122932.75887,154727.078907,21756.6315431
2028,199005.080363,23642.2062769,110060.489554,183531.844607,147139.265847,114220.22694,146014.54696,50631.5868446,124818.333604,156612.65364,23642.2062769
2029,223807.640322,48444.7662361,134863.049513,208334.404566,171941.825806,139022.786899,170817.106919,75434.1468038,149620.893563,181415.213599,48444.7662361
2030,247812.457125,72449.5830386,158867.866315,232339.221369,195946.642609,163027.603702,194821.923721,99438.9636064,173625.710366,205420.030402,72449.5830386
2031,267393.425514,92030.5514275,178448.834704,251920.189757,215527.610998,182608.57209,214402.89211,119019.931995,193206.678754,225000.998791,92030.5514275
2032,263404.709731,88041.8356446,174460.118921,247931.473975,211538.895215,178619.856307,210414.176327,115031.216212,189217.962971,221012.283008,88041.8356446
2033,252961.52659,77598.6525039,164016.935781,237488.290834,201095.712074,168176.673167,199970.993187,104588.033072,178774.779831,210569.099867,77598.6525039
2034,244548.962393,69186.0883072,155604.371584,229075.726637,192683.147878,159764.10897,191558.42899,96175.4688749,170362.215634,202156.535671,69186.0883072
2035,243461.130816,68098.25673,154516.540007,227987.89506,191595.3163,158676.277393,190470.597413,95087.6372977,169274.384057,201068.704093,68098.25673
2036,252526.393959,77163.519873,163581.80315,237053.158203,200660.579443,167741.540536,199535.860556,104152.900441,178339.6472,210133.967236,77163.519873
2037,271019.530771,95656.6566847,182074.939961,255546.295015,219153.716255,186234.677348,218028.997367,122646.037252,196832.784012,228627.104048,95656.6566847
2038,288134.747585,112771.873499,199190.156775,272661.511829,236268.933069,203349.894161,235144.214181,139761.254066,213948.000826,245742.320862,112771.873499
2039,294299.126522,118936.252436,205354.535713,278825.890766,242433.312006,209514.273099,241308.593119,145925.633004,220112.379763,251906.699799,118936.252436
2040,291543.286526,116180.41244,202598.695717,276070.05077,239677.472011,206758.433103,238552.753123,143169.793008,217356.539767,249150.859804,116180.41244
2041,287119.438113,111756.564027,198174.847303,271646.202357,235253.623597,202334.584689,234128.904709,138745.944594,212932.691353,244727.01139,111756.564027
2042,287409.526533,112046.652447,198464.935724,271936.290777,235543.712018,202624.67311,234418.99313,139036.033015,213222.779774,245017.099811,112046.652447
2043,296692.355992,121329.481906,207747.765182,281219.120236,244826.541476,211907.502568,243701.822588,148318.862473,222505.609232,254299.929269,121329.481906
2044,310108.945443,134746.071357,221164.354634,294635.709687,258243.130928,225324.09202,257118.41204,161735.451925,235922.198684,267716.518721,134746.071357
2045,318811.598061,143448.723974,229867.007251,303338.362304,266945.783545,234026.744637,265821.064657,170438.104542,244624.851301,276419.171338,143448.723974
2046,320987.261215,145624.387129,232042.670405,305514.025459,269121.446699,236202.407792,267996.727811,172613.767696,246800.514456,278594.834492,145624.387129
2047,320552.128584,145189.254498,231607.537775,305078.892828,268686.314068,235767.275161,267561.595181,172178.635066,246365.381825,278159.701861,145189.254498
2048,320552.128584,145189.254498,231607.537775,305078.892828,268686.314068,235767.275161,267561.595181,172178.635066,246365.381825,278159.701861,145189.254498
2049,323307.968579,147945.094493,234363.37777,307834.732823,271442.154064,238523.115156,270317.435176,174934.475061,249121.22182,280915.541857,147945.094493
2050,326861.551731,151498.677645,237916.960922,311388.315975,274995.737216,242076.698308,273871.018328,178488.058213,252674.804972,284469.125009,151498.677645
