year,Base case cost,Modeled residential energy efficiency
2017,420638.407398,390542.077938
2018,445329.450679,412459.133964
2019,478662.359109,442047.159599
2020,494094.261159,455745.319616
2021,514968.655139,475440.769012
2022,523153.897127,482724.465142
2023,528820.603119,487767.024002
2024,533857.675112,492249.298544
2025,538894.747105,496731.573086
2026,545820.721095,502894.700581
2027,562584.886862,519034.719216
2028,567078.830275,523043.21486
2029,573498.749437,528769.637208
2030,577350.700934,532205.490617
2031,595930.240968,550022.184156
2032,603128.089134,556457.185826
2033,609671.587467,562307.187345
2034,617523.785466,569327.189168
2035,622104.234299,573422.190231
2036,641449.965191,592005.074629
