year,Base case diesel consumed,Modeled solar power (pv)
2016,46517.3793601,45671.0776853
2017,46517.3793601,45677.8480987
2018,46517.3793601,45684.5643487
2019,46517.3793601,45691.2268688
2020,46517.3793601,45697.8360888
2021,46517.3793601,45704.3924349
2022,46517.3793601,45710.8963303
2023,46430.9158297,45630.8846642
2024,46430.9158297,45637.2849135
2025,46430.9158297,45643.6339608
2026,46430.9158297,45649.9322158
2027,46430.9158297,45656.1800847
2028,46430.9158297,45662.3779706
2029,46430.9158297,45668.5262735
2030,46344.4522993,45588.1618596
2031,46344.4522993,45594.2121831
2032,46344.4522993,45600.214104
2033,46344.4522993,45606.1680096
2034,46344.4522993,45612.0742839
2035,46257.9887689,45531.4697776
