year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,40367.0,29847.9608778
2018,40367.0,29847.9608778
2019,40367.0,29847.9608778
2020,40367.0,29847.9608778
2021,40367.0,29847.9608778
2022,40367.0,29847.9608778
2023,40367.0,29847.9608778
2024,40367.0,29847.9608778
2025,40367.0,29847.9608778
2026,40367.0,29847.9608778
2027,40367.0,29847.9608778
2028,40367.0,29847.9608778
2029,40367.0,29847.9608778
2030,40367.0,29847.9608778
2031,40367.0,29847.9608778
2032,,
2033,,
2034,,
2035,,
2036,,
