year,Base case cost,Modeled residential energy efficiency
2017,210933.981387,211381.325356
2018,221510.375803,221304.532747
2019,236088.649188,234982.467259
2020,242949.013133,241419.142324
2021,247808.437595,245978.453828
2022,251238.619568,249196.79136
2023,253811.256047,251610.544509
2024,265387.748723,263063.461261
2025,267759.998916,265294.481827
2026,271021.842931,268362.135105
2027,273394.093124,270593.155671
2028,275469.812043,272545.298666
2029,278435.124784,275334.074374
2030,290324.004439,287117.031808
2031,293396.144944,290012.63528
2032,296775.4995,293197.799098
2033,300154.854055,296382.962917
2034,303534.208611,299568.126735
2035,305684.706964,301595.049165
2036,319825.40289,315541.554353
