year,Base case cost,Modeled biomass for heat (cordwood)
2017,188949.538507,212233.73189
2018,203885.328507,223277.477415
2019,224472.498507,238499.937462
2020,234160.578507,245663.448073
2021,241022.968507,250737.601422
2022,245867.008507,254319.356728
2023,249500.038507,257005.673207
2024,252325.728507,259095.030468
2025,255555.088507,261482.867338
2026,259995.458507,264766.143035
2027,263224.818507,267153.979905
2028,266050.508507,269243.337167
2029,270087.208507,272228.133254
2030,272509.228507,274019.010907
2031,276545.928507,277003.806995
2032,,
2033,,
2034,,
2035,,
2036,,
