year,Base case diesel consumed,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,11692.8513501,0.0,0.0,0.0
2022,11653.211744,0.0,0.0,0.0
2023,11534.2929259,0.0,0.0,0.0
2024,11455.0137138,0.0,0.0,0.0
2025,11375.7345018,0.0,0.0,0.0
2026,11296.4552897,0.0,0.0,0.0
2027,11217.1760776,0.0,0.0,0.0
2028,11137.8968655,0.0,0.0,0.0
2029,11137.8968655,0.0,0.0,0.0
2030,11098.2572595,0.0,0.0,0.0
2031,11018.9780474,0.0,0.0,0.0
2032,10939.6988353,0.0,0.0,0.0
2033,10820.7800172,0.0,0.0,0.0
2034,10741.5008051,0.0,0.0,0.0
2035,10662.221593,0.0,0.0,0.0
2036,10543.3027749,0.0,0.0,0.0
2037,10503.6631689,0.0,0.0,0.0
2038,10384.7443508,0.0,0.0,0.0
2039,10305.4651387,0.0,0.0,0.0
2040,10226.1859266,0.0,0.0,0.0
2041,10107.2671085,0.0,0.0,0.0
2042,10027.9878964,0.0,0.0,0.0
2043,9948.70868432,0.0,0.0,0.0
2044,9829.7898662,0.0,0.0,0.0
2045,9750.51065412,0.0,0.0,0.0
2046,9671.23144204,0.0,0.0,0.0
2047,9552.31262392,0.0,0.0,0.0
2048,9473.03341184,0.0,0.0,0.0
2049,9393.75419976,0.0,0.0,0.0
2050,9314.47498768,0.0,0.0,0.0
2051,9314.47498768,0.0,0.0,0.0
2052,9314.47498768,0.0,0.0,0.0
2053,9314.47498768,0.0,0.0,0.0
2054,9314.47498768,0.0,0.0,0.0
2055,9314.47498768,0.0,0.0,0.0
2056,9314.47498768,0.0,0.0,0.0
2057,9314.47498768,0.0,0.0,0.0
2058,9314.47498768,0.0,0.0,0.0
2059,9314.47498768,0.0,0.0,0.0
2060,9314.47498768,0.0,0.0,0.0
2061,9314.47498768,0.0,0.0,0.0
2062,9314.47498768,0.0,0.0,0.0
2063,9314.47498768,0.0,0.0,0.0
2064,9314.47498768,0.0,0.0,0.0
2065,9314.47498768,0.0,0.0,0.0
2066,9314.47498768,0.0,0.0,0.0
2067,9314.47498768,0.0,0.0,0.0
2068,9314.47498768,0.0,0.0,0.0
2069,9314.47498768,0.0,0.0,0.0
2070,9314.47498768,0.0,0.0,0.0
