year,Base case cost,Modeled residential energy efficiency
2017,208557.806162,209750.137384
2018,218797.491991,216720.773559
2019,233253.519043,226869.76338
2020,231477.285567,222761.200885
2021,236115.753051,225535.125466
2022,239594.603663,227466.194197
2023,233106.456411,219746.663917
2024,235056.944847,220555.833149
2025,237286.074488,221582.707781
2026,231250.908425,214133.359373
2027,233389.933965,215097.90855
2028,235261.581314,215883.809607
2029,237667.985047,217066.901636
2030,229834.144505,208248.512798
2031,232651.411486,209717.078369
2032,235212.563286,211017.045799
2033,228231.304168,202711.179406
2034,230924.67801,204091.571184
2035,232638.643182,204805.215505
2036,225206.863561,196082.893233
