year,Base case cost,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,42211.1933738,18127951.6275,438483.185688,260202.774614
2022,43466.4798053,17757171.2183,428687.620862,254425.421987
2023,43945.6560478,17396712.7265,418955.191332,248533.135548
2024,44445.4532097,17045253.9916,409609.49261,242919.247162
2025,45047.908627,16701402.4317,400415.575862,237395.93683
2026,45976.573029,16363911.5571,391280.120978,231916.966186
2027,46551.280722,16035752.2847,382454.454103,226600.222966
2028,47001.9247725,15715693.3111,373851.820252,221405.942967
2029,48004.3354904,15402313.955,365675.477909,216606.890844
2030,48499.3842239,15097579.3889,357642.08144,211808.710175
2031,49365.0216524,14797081.3874,349377.061071,206819.048929
2032,50103.8206658,14503994.4473,341315.006529,201938.844071
2033,50749.4582807,14216911.402,333173.459483,196932.41872
2034,51559.2038646,13936571.2157,325361.743294,192188.16085
2035,51925.0191581,13664769.9799,317892.060417,187629.621766
2036,52505.6478191,13396899.2205,310171.111631,182845.524998
2037,53043.4990028,13137670.9428,303185.851695,178643.863635
2038,53689.1282934,12881335.8765,295678.937719,173971.805087
2039,54206.7466295,12632634.6455,288659.297969,169659.245835
2040,55016.8802851,12388013.343,281607.821486,165323.839032
2041,54377.0970436,12155189.509,275119.175616,161223.238604
2042,53950.5748826,11928020.7495,268980.873539,157417.012156
2043,53524.0527216,11706166.2622,262976.441328,153689.997542
2044,52884.2694802,11489288.231,256889.480283,149827.077127
2045,52457.7473192,11277691.5455,251143.448568,146252.960082
2046,52031.2251582,11071044.1605,245522.092852,142752.614789
2047,51391.4419167,10869016.8164,239809.229979,139111.051151
2048,50964.9197557,10671922.7544,234428.52849,135753.102823
2049,50538.3975947,10479438.0859,229163.940534,132463.859768
2050,50111.8754337,10291454.7816,224012.744778,129241.711753
2051,50111.8754337,10108293.8618,219398.805727,126511.608384
2052,50111.8754337,9929425.77595,214893.005869,123845.491812
2053,50111.8754337,9754749.9115,210492.810712,121241.862356
2054,50111.8754337,9584168.01117,206195.745092,118699.255444
2055,50111.8754337,9417584.12468,201999.391962,116216.240889
2056,50111.8754337,9254904.54818,197901.390862,113791.421991
2057,50111.8754337,9096037.77447,193899.436668,111423.434788
2058,50111.8754337,8940894.44012,189991.278259,109110.947277
2059,50111.8754337,8789387.27892,186174.717345,106852.658709
2060,50111.8754337,8641431.06581,182447.607051,104647.298765
2061,50111.8754337,8496942.57653,178807.850908,102493.626946
2062,50111.8754337,8355840.53629,175253.401551,100390.431812
2063,50111.8754337,8218045.5747,171782.25959,98336.5303068
2064,50111.8754337,8083480.18376,168392.47255,96330.7671371
2065,50111.8754337,7952068.66819,165082.133618,94372.0140267
2066,50111.8754337,7823737.10957,161849.380745,92459.1691859
2067,50111.8754337,7698413.3229,158692.395543,90591.1566616
2068,50111.8754337,7576026.81147,155609.402157,88766.9256658
2069,50111.8754337,7456508.73423,152598.666436,86985.4500888
2070,50111.8754337,7339791.86226,149658.494842,85245.7278506
