year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,773021.0,4551.71,683268.0,655188.0,28080.0
2004,,773021.0,4551.71,858629.0,606254.0,252375.0
2005,,773021.0,4551.71,1007759.0,473438.0,534321.0
2006,,773021.0,4551.71,806390.0,542702.0,263688.0
2007,,773021.0,4551.71,913396.0,511093.0,402303.0
2008,,773021.0,4551.71,825508.0,796320.0,29188.0
2009,,773021.0,4551.71,813303.0,537789.0,275514.0
2010,,773021.0,4551.71,261456.0,200993.0,60463.0
2011,,773021.0,4551.71,741260.0,684769.0,56491.0
2012,,773021.0,4551.71,1166377.0,947185.0,219192.0
2013,,773021.0,4551.71,825446.0,773021.0,52425.0
2014,,773021.0,4551.71,766117.0,680805.0,85312.0
2015,,773021.0,4551.71,489778.0,484862.0,4916.0
2016,start of forecast,773021.0,4551.71,1078000.0,773021.0,304979.0
2017,,773021.0,4551.71,1076000.0,773021.0,302979.0
2018,,773021.0,4551.71,1074000.0,773021.0,300979.0
2019,,773021.0,4551.71,1072000.0,773021.0,298979.0
2020,,773021.0,4551.71,1071000.0,773021.0,297979.0
2021,,773021.0,4551.71,1068000.0,773021.0,294979.0
2022,,773021.0,4551.71,1067000.0,773021.0,293979.0
2023,,773021.0,4551.71,1064000.0,773021.0,290979.0
2024,,773021.0,4551.71,1062000.0,773021.0,288979.0
2025,,773021.0,4551.71,1060000.0,773021.0,286979.0
2026,,773021.0,4551.71,1058000.0,773021.0,284979.0
2027,,773021.0,4551.71,1056000.0,773021.0,282979.0
2028,,773021.0,4551.71,1054000.0,773021.0,280979.0
2029,,773021.0,4551.71,1054000.0,773021.0,280979.0
2030,,773021.0,4551.71,1053000.0,773021.0,279979.0
2031,,773021.0,4551.71,1051000.0,773021.0,277979.0
2032,,773021.0,4551.71,1049000.0,773021.0,275979.0
2033,,773021.0,4551.71,1046000.0,773021.0,272979.0
2034,,773021.0,4551.71,1044000.0,773021.0,270979.0
2035,,773021.0,4551.71,1042000.0,773021.0,268979.0
2036,,773021.0,4551.71,1039000.0,773021.0,265979.0
2037,,773021.0,4551.71,1038000.0,773021.0,264979.0
2038,,773021.0,4551.71,1035000.0,773021.0,261979.0
2039,,773021.0,4551.71,1033000.0,773021.0,259979.0
2040,,773021.0,4551.71,1031000.0,773021.0,257979.0
