year,Base case cost,Modeled biomass for heat (cordwood)
2017,187564.055854,217369.463788
2018,205334.155854,229775.449361
2019,230421.355854,247608.988564
2020,241919.655854,255411.498525
2021,250282.055854,260911.675766
2022,256553.855854,264882.045042
2023,260735.055854,267322.231121
2024,264393.605854,269391.231059
2025,268574.805854,271861.595999
2026,274323.955854,275505.885475
2027,278505.155854,278005.031223
2028,282163.705854,280131.608963
2029,286867.555854,283044.656723
2030,290003.455854,284811.584178
2031,295752.605854,288523.716927
2032,,
2033,,
2034,,
2035,,
2036,,
