year,Base case cost,Modeled diesel efficiency
2019,38280.0535708,201181.252166
2020,40750.6070803,199527.650446
2021,42211.1933738,197047.292635
2022,43466.4798053,194469.552418
2023,43945.6560478,191273.419438
2024,44445.4532097,188181.151825
2025,45047.908627,185265.334015
2026,45976.573029,182727.245718
2027,46551.280722,179946.651919
2028,47001.9247725,177130.688333
2029,48004.3354904,174891.931765
2030,48499.3842239,172265.766077
2031,49365.0216524,170048.597851
2032,50103.8206658,167786.530857
2033,50749.4582807,165508.530312
2034,51559.2038646,163446.865974
2035,51925.0191581,161047.201989
2036,52505.6478191,158906.859366
2037,53043.4990028,156790.163766
2038,53689.1282934,154832.518218
