year,Base case diesel consumed,Modeled diesel efficiency
2019,11851.4097742,10774.0088857
2020,11811.7701682,10737.9728802
2021,11692.8513501,10629.8648637
2022,11653.211744,10593.8288582
2023,11534.2929259,10485.7208417
2024,11455.0137138,10413.6488308
2025,11375.7345018,10341.5768198
2026,11296.4552897,10269.5048088
2027,11217.1760776,10197.4327978
2028,11137.8968655,10125.3607868
2029,11137.8968655,10125.3607868
2030,11098.2572595,10089.3247813
2031,11018.9780474,10017.2527704
2032,10939.6988353,9945.18075938
2033,10820.7800172,9837.07274291
2034,10741.5008051,9765.00073193
2035,10662.221593,9692.92872095
2036,10543.3027749,9584.82070447
2037,10503.6631689,9548.78469898
2038,10384.7443508,9440.67668251
