year,Base case cost,Modeled diesel efficiency
2019,162315.949186,341723.137801
2020,172447.171794,350933.340172
2021,179443.268949,357293.428494
2022,184058.990525,361489.539018
2023,187612.377085,364719.890436
2024,190523.338007,367366.218547
2025,194021.232347,370546.122492
2026,198121.877729,374273.981931
2027,201624.789282,377458.446979
2028,204545.984896,380114.079355
2029,208638.784492,383834.80626
2030,210975.517031,385959.108569
2031,215066.459413,389678.147098
2032,219157.725869,393397.48024
2033,223832.865586,397647.607255
2034,228508.264778,401897.970157
2035,230845.996304,404023.180635
2036,235521.310095,408273.465899
2037,238137.330491,410651.66626
2038,242806.696341,414896.544305
