year,Base case diesel consumed,Modeled diesel efficiency
2019,58387.0320813,53079.1200739
2020,58456.6684049,53142.4258226
2021,58450.5762048,53136.8874589
2022,58431.4255636,53119.4777851
2023,58446.2233911,53132.9303555
2024,58442.7417198,53129.7651999
2025,58440.1302249,53127.3911135
2026,58443.0317786,53130.0288896
2027,58441.9679078,53129.0617343
2028,58441.7099704,53128.8272458
2029,58442.2365523,53129.3059566
2030,58441.9714768,53129.0649789
2031,58441.9726665,53129.0660604
2032,58442.0602319,53129.1456653
2033,58442.0014584,53129.0922349
2034,58442.0114522,53129.1013202
2035,58442.0243808,53129.1130735
2036,58442.0124305,53129.1022095
2037,58366.9927674,53060.9025158
2038,58366.9943126,53060.9039206
