year,Base case cost,Modeled water and wastewater efficiency
2017,18826.1818338,24488.4965553
2018,19901.7736399,25216.8118102
2019,21284.2888517,26152.2429867
2020,22031.2272531,26658.2468721
2021,22579.8509503,27030.0316525
2022,22933.2417919,27269.4046907
2023,23211.6986575,27458.1123864
2024,23445.7365204,27616.7250063
2025,23729.6821476,27809.1744674
2026,24155.8118743,28098.6240435
2027,24518.6607074,28345.0535737
2028,24799.4440468,28535.6186017
2029,25160.0392341,28780.1490821
2030,25410.1897758,28950.0472704
2031,25766.0936683,29191.339394
