year,Base case cost,Tuntutuliak heat recovery
2019,202256.332054,205493.72631
2020,209217.861823,211287.706079
2021,214347.410074,215556.95433
2022,218011.37311,218606.417366
2023,220576.147235,220741.041492
2024,222774.525057,222570.719313
2025,225339.299183,224705.343439
2026,228636.865915,227449.860172
2027,231201.640041,229584.484297
2028,233400.017863,231414.162119
2029,236331.188292,233853.732548
2030,237796.773506,235073.517762
2031,241094.340239,237818.034495
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
