year,Base case diesel consumed,Tuntutuliak heat recovery
2019,36639.6303633,30494.6303633
2020,36639.6303633,30494.6303633
2021,36639.6303633,30494.6303633
2022,36639.6303633,30494.6303633
2023,36639.6303633,30494.6303633
2024,36639.6303633,30494.6303633
2025,36639.6303633,30494.6303633
2026,36639.6303633,30494.6303633
2027,36639.6303633,30494.6303633
2028,36639.6303633,30494.6303633
2029,36639.6303633,30494.6303633
2030,36639.6303633,30494.6303633
2031,36639.6303633,30494.6303633
