year,Base case diesel consumed,Modeled non-residential ashp
2017,36639.6303633,25647.7412653
2018,36639.6303633,25647.7412653
2019,36639.6303633,25647.7412653
2020,36639.6303633,25647.7412653
2021,36639.6303633,25647.7412653
2022,36639.6303633,25647.7412653
2023,36639.6303633,25647.7412653
2024,36639.6303633,25647.7412653
2025,36639.6303633,25647.7412653
2026,36639.6303633,25647.7412653
2027,36639.6303633,25647.7412653
2028,36639.6303633,25647.7412653
2029,36639.6303633,25647.7412653
2030,36639.6303633,25647.7412653
2031,36639.6303633,25647.7412653
