year,Base case diesel consumed,Modeled residential energy efficiency
2017,86599.8129512,64314.4476905
2018,88761.8388178,66476.4735572
2019,89842.8517512,67557.4864906
2020,90923.8646845,68638.4994239
2021,93085.8905512,70800.5252906
2022,94166.9034846,71881.5382239
2023,95247.9164179,72962.5511573
2024,96328.9293513,74043.5640906
2025,98490.955218,76205.5899573
2026,99571.9681513,77286.6028907
2027,101733.994018,79448.6287574
2028,102815.006951,80529.6416907
2029,104977.032818,82691.6675574
2030,106058.045751,83772.6804908
2031,108220.071618,85934.7063575
2032,109301.084551,87015.7192908
2033,111463.110418,89177.7451575
2034,112544.123351,90258.7580908
2035,114706.149218,92420.7839575
2036,115787.162152,93501.7968909
