year,population
2003,56.0
2004,65.0
2005,58.0
2006,44.0
2007,39.0
2008,31.0
2009,37.0
2010,31.0
2011,31.0
2012,30.0
2013,30.0
2014,30.0
2015,30.0
2016,30.0
2017,30.0
2018,29.0
2019,29.0
2020,29.0
2021,28.0
2022,28.0
2023,27.0
2024,27.0
2025,26.0
2026,26.0
2027,25.0
2028,25.0
2029,24.0
2030,23.0
2031,23.0
2032,22.0
2033,22.0
2034,22.0
2035,22.0
2036,21.0
2037,21.0
2038,20.0
2039,20.0
2040,20.0
