year,Base case cost,Modeled biomass for heat (pellet)
2017,46595.9910608,58248.5665426
2018,51923.9010608,62049.2898173
2019,59422.4410608,67398.4559076
2020,62974.3810608,69932.2714241
2021,65539.6710608,71762.2492971
2022,67315.6410608,73029.1570553
2023,68696.9510608,74014.5297561
2024,69880.9310608,74859.1349283
2025,71064.9110608,75703.7401005
2026,72643.5510608,76829.88033
2027,74024.8610608,77815.2530308
2028,75011.5110608,78519.0906743
2029,76590.1510608,79645.2309038
2030,77576.8010608,80349.0685473
2031,79155.4410608,81475.2087768
2032,,
2033,,
2034,,
2035,,
2036,,
