year,Base case diesel consumed,Modeled residential energy efficiency
2017,23576.7716445,22737.0979513
2018,23576.7716445,22737.0979513
2019,24424.5218902,23584.848197
2020,24424.5218902,23584.848197
2021,24424.5218902,23584.848197
2022,24424.5218902,23584.848197
2023,24424.5218902,23584.848197
2024,24424.5218902,23584.848197
2025,23576.7716445,22737.0979513
2026,24424.5218902,23584.848197
2027,24424.5218902,23584.848197
2028,24424.5218902,23584.848197
2029,24424.5218902,23584.848197
2030,25272.2721358,24432.5984427
2031,25272.2721358,24432.5984427
2032,25272.2721358,24432.5984427
2033,24424.5218902,23584.848197
2034,24424.5218902,23584.848197
2035,24424.5218902,23584.848197
2036,24424.5218902,23584.848197
