year,Base case diesel consumed,Modeled non-residential ashp
2017,36845.9328888,25792.1530001
2018,36845.9328888,25792.1530001
2019,36845.9328888,25792.1530001
2020,36845.9328888,25792.1530001
2021,36845.9328888,25792.1530001
2022,36845.9328888,25792.1530001
2023,36845.9328888,25792.1530001
2024,36845.9328888,25792.1530001
2025,36845.9328888,25792.1530001
2026,36845.9328888,25792.1530001
2027,36845.9328888,25792.1530001
2028,36845.9328888,25792.1530001
2029,36845.9328888,25792.1530001
2030,36845.9328888,25792.1530001
2031,36845.9328888,25792.1530001
