year,Base case cost,Modeled biomass for heat (cordwood)
2017,206906.985637,238513.230811
2018,220908.465637,248866.137503
2019,239699.925637,262760.828064
2020,248174.505637,269027.061063
2021,254069.865637,273386.17967
2022,258491.385637,276655.518626
2023,261439.065637,278835.077929
2024,264018.285637,280742.19232
2025,266965.965637,282921.751624
2026,270650.565637,285646.200753
2027,273598.245637,287825.760057
2028,275809.005637,289460.429535
2029,279125.145637,291912.433752
2030,281335.905637,293547.103229
2031,284652.045637,295999.107446
2032,,
2033,,
2034,,
2035,,
2036,,
