year,Base case diesel consumed,Modeled non-residential ashp
2017,4503.73958324,-5286.9986314
2018,4503.73958324,-5286.9986314
2019,4503.73958324,-5286.9986314
2020,4503.73958324,-5286.9986314
2021,4503.73958324,-5286.9986314
2022,4503.73958324,-5286.9986314
2023,4503.73958324,-5286.9986314
2024,4503.73958324,-5286.9986314
2025,4503.73958324,-5286.9986314
2026,4503.73958324,-5286.9986314
2027,4503.73958324,-5286.9986314
2028,4503.73958324,-5286.9986314
2029,4503.73958324,-5286.9986314
2030,4503.73958324,-5286.9986314
2031,4503.73958324,-5286.9986314
