year,Base case cost,Modeled water and wastewater efficiency
2017,7182.53963685,4136.61722923
2018,7727.29708781,4266.09398132
2019,8486.06639451,4464.54501612
2020,8836.26761299,4534.2598208
2021,9089.19071522,4574.05836971
2022,9264.29132446,4590.09558266
2023,9400.4806872,4594.70462159
2024,9497.75880344,4587.86375032
2025,9614.49254293,4588.0848691
2026,9770.13752892,4601.52496064
2027,9906.32689166,4609.63066276
2028,10003.6050079,4606.20450187
2029,10159.2499939,4622.11571474
2030,10237.0724869,4614.10149922
2031,10392.7174729,4631.56510599
