year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,15677.77,31682.61
2018,,0.0,15677.77,30946.98
2019,,0.0,15677.77,30946.98
2020,,0.0,15677.77,30211.35
2021,,0.0,15677.77,30211.35
2022,,0.0,15677.77,29475.72
2023,,0.0,15677.77,28740.09
2024,,0.0,15677.77,28004.46
2025,,0.0,15677.77,27268.83
2026,,0.0,15677.77,26533.2
2027,,0.0,15677.77,25797.57
2028,,0.0,15677.77,25061.94
2029,,0.0,15677.77,24326.31
2030,,0.0,15677.77,22855.05
2031,,0.0,15677.77,22119.42
2032,,0.0,15677.77,21383.79
2033,,0.0,15677.77,21383.79
2034,,0.0,15677.77,20648.16
2035,,0.0,15677.77,20648.16
2036,,0.0,15677.77,19912.53
2037,,0.0,15677.77,19176.9
2038,,0.0,15677.77,18441.27
2039,,0.0,15677.77,17705.64
2040,,0.0,15677.77,17705.64
