year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,47361.0,42867.0652897
2018,46625.0,42131.0652897
2019,46625.0,42131.0652897
2020,45889.0,41395.0652897
2021,45889.0,41395.0652897
2022,45154.0,40660.0652897
2023,44418.0,39924.0652897
2024,43682.0,39188.0652897
2025,42947.0,38453.0652897
2026,42211.0,37717.0652897
2027,41476.0,36982.0652897
2028,40740.0,36246.0652897
2029,40004.0,35510.0652897
2030,38533.0,34039.0652897
2031,37797.0,33303.0652897
2032,37062.0,32568.0652897
2033,37062.0,32568.0652897
2034,36326.0,31832.0652897
2035,36326.0,31832.0652897
2036,35591.0,31097.0652897
