year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,6706152.44,16453.25,1523705.89,1793803.07
2018,6701225.66,16426.58,1523705.89,1788228.83
2019,6692821.15,16380.62,1523705.89,1779867.47
2020,6684344.18,16334.07,1523705.89,1770112.54
2021,6677750.99,16297.93,1523705.89,1763144.74
2022,6668114.78,16245.28,1523705.89,1751996.25
2023,6656160.08,16179.92,1523705.89,1739454.2
2024,6643046.15,16108.28,1523705.89,1724125.03
2025,6627034.1,16020.69,1523705.89,1707402.31
2026,6610587.34,15930.63,1523705.89,1689286.01
2027,6597183.59,15857.33,1523705.89,1673956.85
2028,6582113.43,15774.67,1523705.89,1657234.12
2029,6556682.54,15635.64,1523705.89,1629362.9
2030,6531251.65,15496.71,1523705.89,1601491.69
2031,6508139.24,15370.24,1523705.89,1576407.59
