year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10072.0537541,6546.83494015
2018,10069.8490364,6545.40187363
2019,10067.4407601,6543.83649408
2020,10064.862086,6542.16035592
2021,10062.1389833,6540.39033915
2022,10059.2945578,6538.54146259
2023,10056.3511165,6536.62822572
2024,10053.3307664,6534.66499816
2025,10050.255881,6532.66632266
2026,10047.1487672,6530.64669867
2027,10044.0311325,6528.62023613
2028,10040.9239521,6526.60056887
2029,10037.8471357,6524.60063818
2030,10034.8187951,6522.63221678
2031,10031.8555106,6520.70608189
