year,annotation,diesel generation efficiency
2002,,13.03
2003,,13.05
2004,,13.36
2005,,13.35
2006,,13.13
2007,,13.88
2008,,14.1
2009,,14.02
2010,,13.97
2011,,13.31
2012,,13.24
2013,,13.0
2014,,12.79
2015,,13.08
2016,start of forecast,13.19
2017,,13.19
2018,,13.19
2019,,13.19
2020,,13.19
2021,,13.19
2022,,13.19
2023,,13.19
2024,,13.19
2025,,13.19
2026,,13.19
2027,,13.19
2028,,13.19
2029,,13.19
2030,,13.19
2031,,13.19
2032,,13.19
2033,,13.19
2034,,13.19
2035,,13.19
2036,,13.19
2037,,13.19
2038,,13.19
2039,,13.19
2040,,13.19
