year,annotation,Average Load
2003,,320.0
2004,,322.0
2005,,312.0
2006,,326.0
2007,,314.0
2008,,335.0
2009,,341.0
2010,,344.0
2011,,352.0
2012,,363.0
2013,,351.0
2014,,327.0
2015,,334.0
2016,start of forecast,334.0
2017,,333.0
2018,,332.0
2019,,331.0
2020,,331.0
2021,,330.0
2022,,329.0
2023,,328.0
2024,,327.0
2025,,326.0
2026,,325.0
2027,,324.0
2028,,323.0
2029,,323.0
2030,,322.0
2031,,321.0
2032,,320.0
2033,,319.0
2034,,317.0
2035,,316.0
2036,,315.0
2037,,314.0
2038,,313.0
2039,,312.0
2040,,311.0
