year,Base case diesel consumed,Modeled solar power (pv)
2016,231691.68622,228032.623853
2017,231160.805106,227531.015238
2018,230629.923992,227029.172443
2019,230023.202718,226451.257182
2020,229492.321604,225948.951632
2021,228885.600331,225370.577319
2022,228278.879058,224791.97623
2023,227672.157785,224213.150179
2024,227065.436511,223634.100967
2025,226458.715238,223054.830378
2026,225776.153806,222399.500024
2027,225169.432532,221819.791981
2028,224486.8711,221164.027673
2029,223804.309668,220508.048988
2030,223121.748235,219851.857641
2031,222439.186803,219195.455334
2032,221756.62537,218538.843753
2033,221074.063938,217882.024574
2034,220315.662347,217149.159297
2035,219633.100914,216491.929889
