year,Base case cost,Modeled solar power (pv)
2016,542158.545754,570312.18006
2017,644938.646245,670748.719215
2018,719565.362854,743507.930555
2019,823483.065732,845130.086649
2020,869775.89888,890056.311925
2021,901809.265304,920962.173286
2022,924529.460184,942718.627779
2023,938009.290073,955394.647481
2024,951404.178983,968004.632303
2025,964714.126914,980548.168499
2026,982126.269055,997144.453667
2027,997500.586119,1011755.18302
2028,1010190.91995,1023732.99482
2029,1025023.73828,1037837.24962
2030,1033053.69433,1045253.81772
2031,1052137.35358,1063577.04403
2032,1068866.93429,1079595.76536
2033,1087684.39458,1097686.96255
2034,1105984.62498,1115277.60706
2035,1115736.15264,1124461.52419
