year,Base case diesel consumed,Modeled solar power
2020,153628.024118,152476.497689
2021,153628.024118,152485.7099
2022,153628.024118,152494.848414
2023,153475.312365,152351.202066
2024,153398.956488,152283.839071
2025,153398.956488,152292.760011
2026,153398.956488,152301.609583
2027,153475.312365,152386.744235
2028,153475.312365,152395.45278
2029,153475.312365,152404.091656
2030,153475.312365,152412.661422
2031,153551.668242,152497.518506
2032,153551.668242,152505.951704
2033,153628.024118,152590.673313
2034,153628.024118,152598.97212
2035,153628.024118,152607.204536
2036,153628.024118,152615.371092
2037,153704.379995,152699.828193
2038,153704.379995,152707.864608
2039,153704.379995,152715.836731
