year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,153551.67,17082.46,167331.69,175228.32
2018,153628.02,17031.46,167331.69,175228.32
2019,153628.02,17034.05,167331.69,175228.32
2020,153628.02,17008.9,167331.69,173750.53
2021,153628.02,16996.23,167331.69,173750.53
2022,153628.02,17043.88,167331.69,175228.32
2023,153475.31,17133.81,167331.69,176706.11
2024,153398.96,17193.08,167331.69,176706.11
2025,153398.96,17206.14,167331.69,176706.11
2026,153398.96,17193.01,167331.69,176706.11
2027,153475.31,17167.27,167331.69,176706.11
2028,153475.31,17135.34,167331.69,176706.11
2029,153475.31,17127.39,167331.69,176706.11
2030,153475.31,17146.26,167331.69,176706.11
2031,153551.67,17059.22,167331.69,175228.32
2032,153551.67,17068.7,167331.69,175228.32
2033,153628.02,17036.65,167331.69,175228.32
2034,153628.02,17046.06,167331.69,175228.32
2035,153628.02,17036.31,167331.69,175228.32
2036,153628.02,17004.15,167331.69,173750.53
2037,153704.38,16974.92,167331.69,173750.53
2038,153704.38,16948.21,167331.69,173750.53
2039,153704.38,16941.61,167331.69,173750.53
2040,153780.74,16889.02,167331.69,172272.75
