year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,167331.687156,110328.348496
2018,167331.687156,110328.348496
2019,167331.687156,110328.348496
2020,167331.687156,110328.348496
2021,167331.687156,110328.348496
2022,167331.687156,110328.348496
2023,167331.687156,110328.348496
2024,167331.687156,110328.348496
2025,167331.687156,110328.348496
2026,167331.687156,110328.348496
2027,167331.687156,110328.348496
2028,167331.687156,110328.348496
2029,167331.687156,110328.348496
2030,167331.687156,110328.348496
2031,167331.687156,110328.348496
