year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,17082.4614971,11103.5999731
2018,17031.4567283,11070.4468734
2019,17034.0474742,11072.1308582
2020,17008.9025088,11055.7866307
2021,16996.2282158,11047.5483403
2022,17043.8754126,11078.5190182
2023,17133.812854,11136.9783551
2024,17193.0750839,11175.4988045
2025,17206.1436208,11183.9933535
2026,17193.0100986,11175.4565641
2027,17167.2651026,11158.7223167
2028,17135.3400078,11137.971005
2029,17127.3858112,11132.8007773
2030,17146.2618647,11145.0702121
2031,17059.2249323,11088.496206
