year,Base case cost,Modeled solar power
2020,543843.205379,554062.561132
2021,565351.128756,575145.556218
2022,580713.931167,590138.067875
2023,590879.952604,599975.913868
2024,599789.919868,608576.528889
2025,610527.846822,619001.365309
2026,624333.752906,632479.570614
2027,635387.79319,643235.206942
2028,644596.311932,652163.134506
2029,656874.336921,664145.830157
2030,664548.102539,671563.025427
2031,677162.856945,683895.804065
2032,690982.507087,697429.605494
2033,705152.630703,711320.488227
2034,718979.152874,724874.234832
2035,728196.834321,733856.091249
2036,743559.636733,748948.262178
2037,751614.418176,756788.860094
2038,766984.856176,771900.573216
2039,777744.162776,782436.773102
