year,Base case diesel consumed,Modeled residential ashp
2017,46174.3372627,12961.9696028
2018,44227.3553645,11014.9877046
2019,44227.3553645,11014.9877046
2020,42280.3734664,9068.00580646
2021,42280.3734664,9068.00580646
2022,40333.3915682,7121.0239083
2023,40333.3915682,7121.0239083
2024,38386.4096701,5174.04201014
2025,38386.4096701,5174.04201014
2026,36439.4277719,3227.06011199
2027,36439.4277719,3227.06011199
2028,34492.4458737,1280.07821383
2029,32545.4639756,-666.903684324
2030,32545.4639756,-666.903684324
2031,30598.4820774,-2613.88558248
