year,Base case cost,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,478959.618774,,537728.485909,,,,,,,,
2021,499784.191145,1108602.16305,539779.613985,1244961.33833,811885.272735,1193297.27305,1092018.29109,1192695.58503,1093877.85133,1166895.50077,16773541.6535
2022,521110.43953,1090274.2301,546230.545375,1249406.24564,818945.957013,1187754.12614,1093476.67257,1177083.00123,1091939.86531,1168584.27512,16431293.3784
2023,541812.909334,1075560.36101,554080.568234,1253914.28868,826693.497389,1183812.88257,1095774.38528,1164505.27056,1091319.79535,1170907.48972,16102649.9255
2024,566125.441055,1068681.75374,567559.977672,1262710.83803,839356.594946,1185697.03126,1103137.11082,1159183.65787,1096242.55976,1178090.40135,15791661.1552
2025,594057.63952,1062238.61985,582931.661763,1275146.03456,854757.05118,1189837.87922,1113336.36875,1154871.15487,1103586.88495,1188350.13888,15485396.6157
2026,622427.871501,1056735.79752,598882.234694,1288355.76698,870799.725649,1194828.01953,1124297.80677,1151496.30606,1111723.71486,1199388.93298,15186879.4804
2027,644580.783408,1045506.1599,608753.041276,1295676.79418,880824.478744,1194002.45883,1129358.4734,1142392.04693,1113989.38721,1204543.4366,14889283.0664
2028,662686.917609,1032558.015,615647.213598,1299434.75483,887542.87555,1190414.37384,1131239.02133,1131278.56757,1113326.87256,1206422.41015,14597800.7167
2029,760945.977095,1098381.31625,701889.679262,1383496.23471,974058.663283,1266470.18134,1213016.85001,1199222.23821,1192366.86872,1288325.88791,14390088.5732
2030,854952.97708,1164107.90068,785879.819821,1463937.29848,1057599.48861,1340432.0615,1291952.48754,1266490.41778,1269038.27771,1367179.51155,14191152.3981
2031,943898.792063,1219671.62479,862126.438473,1539127.65523,1134623.39208,1407021.88411,1364442.25022,1324457.91297,1338621.70955,1439936.76766,13984076.7344
2032,950891.002128,1193717.39986,856541.624486,1532656.27577,1129870.79229,1392014.81128,1355259.55976,1300905.15424,1326558.99062,1431036.20862,13701387.3216
2033,935957.648383,1144413.79318,828214.74155,1504381.56146,1102819.88288,1354538.47536,1323868.33747,1254288.94162,1292090.41375,1400052.91866,13399773.4931
2034,924395.077847,1100745.70703,804310.968492,1479918.77735,1079854.35079,1321665.15598,1296673.55614,1213017.87272,1262066.37379,1373168.52356,13110766.7282
2035,934890.742334,1083240.11674,804450.839819,1478111.64926,1080203.38517,1312966.37862,1292913.91238,1197330.79567,1255947.99133,1369509.88671,12856102.8608
2036,992428.728259,1107625.28718,848936.70617,1523123.89975,1126118.72485,1348958.20463,1334779.70651,1224396.91922,1294809.9327,1411824.51895,12644677.0569
2037,1078657.73247,1168485.46633,925965.356961,1597737.59478,1203065.16638,1417526.06215,1407816.35156,1286783.28949,1365758.13412,1484876.97924,12480333.6309
2038,1172708.42267,1230148.15269,1007178.406,1679774.93695,1285804.11952,1490656.81044,1486688.42336,1351122.88264,1441672.52804,1564223.58673,12316550.4065
2039,1218398.3838,1247517.64979,1042005.83754,1714024.36969,1321423.7473,1517513.06996,1518552.97062,1370590.97682,1471047.70036,1596352.05654,12116156.735
2040,1236143.53487,1231754.91651,1046182.07639,1720082.02529,1327607.97132,1514043.43994,1521032.68218,1357789.47019,1470390.7579,1599442.31695,11883492.1507
2041,1217386.4176,1198334.46043,1023312.87527,1691501.16902,1302889.95277,1483280.16802,1492812.5371,1324446.59179,1441285.32555,1570729.4852,11651347.6815
2042,1218616.3925,1185244.76819,1020527.1432,1683137.64858,1298298.73488,1472785.38224,1484801.2737,1311432.659,1432409.52378,1562237.08245,11444191.5656
2043,1257975.5894,1210619.91591,1055964.75147,1713128.1982,1331973.17351,1500694.61816,1515135.8243,1336881.79055,1461899.79868,1592101.77044,11280048.7317
2044,1314861.92868,1253849.95703,1109021.41432,1760865.46777,1383307.99098,1546399.35482,1563209.03235,1380184.08151,1509148.51873,1639716.12827,11138202.6173
2045,1351761.17578,1277412.97571,1142180.74309,1788830.07665,1414785.83016,1572379.06831,1591501.70614,1403817.65666,1536636.02847,1667560.70616,10981027.2061
2046,1360985.98755,1273614.12635,1147753.29073,1789329.65542,1418716.29804,1570940.27258,1592321.6608,1400087.71012,1536669.69009,1667943.06715,10800725.9763
2047,1359141.0252,1259050.74542,1142341.66431,1778963.95804,1411701.07818,1558681.63143,1582268.83049,1385591.61709,1525848.99551,1657462.89929,10613796.996
2048,1359141.0252,1246630.41445,1138858.59384,1770642.92751,1406651.99845,1548512.02297,1574253.33423,1373236.99696,1517083.63177,1649030.08118,10433050.8801
2049,1370825.78678,1246185.94638,1147141.91937,1774201.6826,1413406.01803,1550265.52613,1578110.46263,1372856.69964,1520208.4677,1652479.66871,10268225.7601
2050,1385892.97934,1249408.18846,1158887.39713,1781333.32218,1423658.033,1555634.22442,1585533.48239,1376141.60847,1526916.35812,1659504.69935,10110920.0265
