year,Base case cost,Modeled wind power
2019,446342.730914,744853.704935
2020,478959.618774,761297.774326
2021,499784.191145,768298.915615
2022,521110.43953,777716.111137
2023,541812.909334,787558.625032
2024,566125.441055,802055.882883
2025,594057.63952,819491.656156
2026,622427.871501,837540.863849
2027,644580.783408,849544.041036
2028,662686.917609,858098.095994
2029,760945.977095,946538.05049
2030,854952.97708,1031746.23263
2031,943898.792063,1110757.87473
2032,950891.002128,1107968.04765
2033,935957.648383,1082970.84584
2034,924395.077847,1061919.89628
2035,934890.742334,1063929.63055
2036,992428.728259,1111828.91071
2037,1078657.73247,1190275.85589
2038,1172708.42267,1274954.9208
