year,Base case diesel consumed,Modeled residential ashp
2017,21224.7492097,-53973.7767762
2018,19681.9729002,-55516.5530857
2019,19902.3695159,-55296.1564701
2020,20122.7661315,-55075.7598544
2021,19902.3695159,-55296.1564701
2022,20563.5593628,-54634.9666231
2023,21445.1458254,-53753.3801605
2024,23208.3187505,-51990.2072354
2025,24971.4916757,-50227.0343102
2026,26514.2679852,-48684.2580007
2027,27395.8544478,-47802.6715381
2028,28057.0442947,-47141.4816912
2029,36652.5123049,-38546.013681
2030,44807.1870838,-30391.3389021
2031,51639.4821689,-23559.0438171
