year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,1209.6,233455.66,317803.68,3991.84,735101.87,457905.11
2018,1228.57,258955.49,313531.07,3906.85,765656.17,456329.39
2019,1423.94,293899.7,343131.91,4161.44,807526.89,484389.31
2020,1524.39,310899.59,359764.67,4293.33,827896.43,499791.22
2021,1558.69,323177.29,364991.06,4318.03,842607.77,505432.32
2022,1673.88,331677.23,383673.7,4500.17,852792.54,521378.92
2023,1812.36,338288.3,405440.85,4725.82,860714.02,539460.24
2024,2031.47,343010.49,442886.62,5095.71,866372.23,569657.2
2025,2262.58,349621.55,482726.54,5473.43,874293.72,601760.04
2026,2496.62,356232.62,519125.85,5849.34,882215.2,630957.98
2027,2649.97,362843.69,543180.9,6081.28,890136.69,650314.23
2028,2773.96,368510.32,562254.7,6264.69,896926.54,665621.19
2029,3875.44,375121.38,743595.38,8076.13,904848.02,807191.51
2030,4958.43,379843.57,916972.54,9842.05,910506.23,941777.17
2031,5919.96,387399.08,1071431.01,11353.13,919559.36,1060752.29
