year,Base case diesel consumed,Modeled wind power
2019,175725.484612,134819.867299
2020,176088.095138,135182.477824
2021,175362.874086,134457.256773
2022,177248.44882,136342.831507
2023,180004.288815,139098.671502
2024,185008.31407,144102.696757
2025,189794.77301,148889.155696
2026,194508.709844,153603.092531
2027,197119.505629,156213.888316
2028,199005.080363,158099.46305
2029,223807.640322,182902.023009
2030,247812.457125,206906.839812
2031,267393.425514,226487.8082
2032,263404.709731,222499.092417
2033,252961.52659,212055.909277
2034,244548.962393,203643.34508
2035,243461.130816,202555.513503
2036,252526.393959,211620.776646
2037,271019.530771,230113.913458
2038,288134.747585,247229.130271
