year,Base case cost,Modeled diesel efficiency
2019,446342.730914,718925.766977
2020,478959.618774,741237.803991
2021,499784.191145,753001.577805
2022,521110.43953,765389.412656
2023,541812.909334,777374.231019
2024,566125.441055,792801.13306
2025,594057.63952,811675.095946
2026,622427.871501,831100.05914
2027,644580.783408,845022.119899
2028,662686.917609,855411.00127
2029,760945.977095,938808.473488
2030,854952.97708,1018479.3964
2031,943898.792063,1093684.94512
2032,950891.002128,1094519.73886
2033,935957.648383,1075551.61795
2034,924395.077847,1059774.2287
2035,934890.742334,1064173.20113
2036,992428.728259,1111458.44875
2037,1078657.73247,1184944.14352
2038,1172708.42267,1265655.40682
