year,Base case diesel consumed,Modeled residential energy efficiency
2017,175597.271597,136024.765338
2018,178186.898329,138614.392071
2019,179481.711695,139909.205437
2020,182071.338428,142498.83217
2021,183366.151794,143793.645536
2022,184660.96516,145088.458902
2023,187250.591893,147678.085635
2024,188545.405259,148972.899001
2025,189840.218625,150267.712367
2026,192429.845358,152857.3391
2027,195019.472091,155446.965832
2028,196314.285457,156741.779198
2029,198903.912189,159331.405931
2030,204083.165654,164510.659396
2031,207967.605753,168395.099495
