year,Base case cost,Modeled solar power (pv)
2016,212701.403881,221367.71771
2017,252833.744236,260545.185885
2018,283334.322906,290279.340411
2019,324269.310068,330278.867374
2020,343532.833438,349002.49083
2021,357507.025315,362545.008654
2022,367147.6642,371832.088057
2023,374378.143364,378757.934736
2024,380001.84938,384111.221063
2025,386428.94197,390260.927178
2026,395266.194281,398787.30415
2027,402867.296532,406111.086905
2028,408496.180915,411495.426158
2029,415733.317979,418467.888974
2030,420944.973975,423459.885527
2031,429798.501152,432035.096539
2032,438652.028329,440616.686213
2033,446700.6894,448412.279245
2034,456778.53037,458217.928331
2035,462417.771486,463653.275816
