year,Base case cost,Modeled diesel efficiency
2019,324269.310068,486348.412852
2020,343532.833438,499371.063147
2021,357507.025315,507690.456214
2022,367147.6642,512173.015446
2023,374378.143364,514564.871946
2024,380001.84938,515594.024725
2025,386428.94197,517449.231472
2026,395266.194281,521588.952151
2027,402867.296532,524696.169025
2028,408496.180915,526099.59027
2029,415733.317979,529052.1006
2030,420944.973975,530248.265209
2031,429798.501152,534838.230668
2032,438652.028329,539509.259282
2033,446700.6894,543527.754583
2034,456778.53037,549468.26689
2035,462417.771486,551449.184245
2036,471279.436096,556433.30412
2037,476918.677212,558559.946566
2038,485780.341822,563686.376111
