year,Base case cost,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,357507.025315,1486195.276,1607319.0761
2022,367147.6642,1469596.6421,1587812.99034
2023,374378.143364,1451774.18498,1567224.47519
2024,380001.84938,1433308.10782,1546105.37142
2025,386428.94197,1415965.39088,1526140.44527
2026,395266.194281,1400920.07795,1508448.50159
2027,402867.296532,1385564.48759,1490555.24999
2028,408496.180915,1369150.70188,1471711.48143
2029,415733.317979,1354407.012,1454536.45601
2030,420944.973975,1338739.14436,1436569.38186
2031,429798.501152,1326122.19687,1421568.61358
2032,438652.028329,1313954.28354,1407065.8041
2033,446700.6894,1301630.16613,1392481.51109
2034,456778.53037,1291343.15659,1379927.09893
2035,462417.771486,1278086.50525,1364583.32273
2036,471279.436096,1267620.0617,1351966.48051
2037,476918.677212,1255170.62718,1337517.87165
2038,485780.341822,1245492.48136,1325775.21636
2039,493030.794685,1235003.77535,1313317.32688
2040,503503.671043,1227268.31632,1303545.3835
2041,503503.671043,1212154.69072,1286785.04879
2042,503966.025195,1197857.64451,1270879.88819
2043,503966.025195,1183444.16838,1254895.98792
2044,503966.025195,1169368.50797,1239286.71018
2045,503966.025195,1155622.7461,1224043.27517
2046,503966.025195,1142199.14995,1209157.10752
2047,503503.671043,1128627.81569,1194157.48084
2048,503503.671043,1115826.07696,1179960.92526
2049,503503.671043,1103324.3788,1166097.10124
2050,503503.671043,1091115.68954,1152558.21099
