year,Base case cost,Modeled water and wastewater efficiency
2017,132801.890179,98898.0459148
2018,141586.156557,105370.900001
2019,153382.259486,114091.904778
2020,158938.026566,118159.599093
2021,162876.9079,121022.855568
2022,165653.780982,123021.463892
2023,167735.276006,124503.173751
2024,169357.053386,125643.432427
2025,171212.203846,126959.25641
2026,173772.46139,128801.872926
2027,175869.45986,130300.529547
2028,177507.741232,131458.268447
2029,179610.900531,132964.109419
2030,181018.077147,133952.37717
2031,183578.626944,135802.621936
