year,Base case diesel consumed,Modeled wind power
2019,80264.6807099,66513.8922563
2020,80264.6807099,66513.8922563
2021,80338.6573742,66587.8689205
2022,80338.6573742,66587.8689205
2023,80338.6573742,66587.8689205
2024,80338.6573742,66587.8689205
2025,80338.6573742,66587.8689205
2026,80338.6573742,66587.8689205
2027,80412.6340384,66661.8455848
2028,80412.6340384,66661.8455848
2029,80412.6340384,66661.8455848
2030,80486.6107027,66735.822249
2031,80486.6107027,66735.822249
2032,80486.6107027,66735.822249
2033,80486.6107027,66735.822249
2034,80560.5873669,66809.7989133
2035,80560.5873669,66809.7989133
2036,80560.5873669,66809.7989133
2037,80560.5873669,66809.7989133
2038,80560.5873669,66809.7989133
