year,Base case diesel consumed,Modeled transmission and interties
2021,160677.314748,80338.6573742
2022,160677.314748,80338.6573742
2023,160677.314748,80338.6573742
2024,160677.314748,80338.6573742
2025,160677.314748,80338.6573742
2026,160677.314748,80338.6573742
2027,160825.268077,80412.6340384
2028,160825.268077,80412.6340384
2029,160825.268077,80412.6340384
2030,160973.221405,80486.6107027
2031,160973.221405,80486.6107027
2032,160973.221405,80486.6107027
2033,160973.221405,80486.6107027
2034,161121.174734,80560.5873669
2035,161121.174734,80560.5873669
2036,161121.174734,80560.5873669
2037,161121.174734,80560.5873669
2038,161121.174734,80560.5873669
2039,161121.174734,80560.5873669
2040,161121.174734,80560.5873669
