year,Base case diesel consumed,Modeled solar power (pv)
2016,80264.6807099,78817.8411204
2017,80264.6807099,78829.4158371
2018,80264.6807099,78840.8979561
2019,80264.6807099,78852.2882181
2020,80264.6807099,78863.587358
2021,80338.6573742,78948.7727691
2022,80338.6573742,78959.8918459
2023,80338.6573742,78970.9219701
2024,80338.6573742,78981.8638534
2025,80338.6573742,78992.7182015
2026,80338.6573742,79003.4857149
2027,80412.6340384,79088.1437524
2028,80412.6340384,79098.7396747
2029,80412.6340384,79109.2508296
2030,80486.6107027,79193.6545596
2031,80486.6107027,79203.9982087
2032,80486.6107027,79214.2591087
2033,80486.6107027,79224.4379214
2034,80560.5873669,79308.5119679
2035,80560.5873669,79318.5285711
