year,Base case cost,Modeled solar power (pv)
2016,668942.011193,676675.350256
2017,762536.596986,769088.696067
2018,828129.820833,833786.105961
2019,915878.932765,920447.121391
2020,956486.206409,960440.712877
2021,983842.263549,987337.25889
2022,1006930.5776,1010027.19496
2023,1025537.32155,1028307.94073
2024,1036883.72388,1039373.88192
2025,1052294.09151,1054473.44074
2026,1067936.23123,1069799.90266
2027,1082211.75248,1083779.5533
2028,1092609.85893,1093913.31423
2029,1105659.37282,1106680.97214
2030,1115670.02219,1116464.55597
2031,1131956.67068,1132458.81247
2032,1146250.05876,1146478.56713
2033,1161831.8248,1161781.64484
2034,1177357.60222,1177035.41888
2035,1189398.75951,1188857.14388
