year,Base case cost,Modeled water and wastewater efficiency
2017,209907.671088,178329.803205
2018,220424.475228,184988.899263
2019,234343.216306,194045.305029
2020,240863.368245,197940.574973
2021,245110.774753,200262.150141
2022,248555.406106,202038.069718
2023,251024.410021,203147.765711
2024,252732.316327,203736.964068
2025,255082.481553,204789.943089
2026,257588.246225,205964.599491
2027,259895.616951,207014.234298
2028,261744.912843,207755.890486
2029,264010.792559,208801.85846
2030,265508.199288,209324.186413
2031,268227.902419,210713.25837
